iter	Logloss
0	0.579596684
1	0.4691798866
2	0.3865723725
3	0.3191021758
4	0.2582275571
5	0.2098052404
6	0.1728812397
7	0.1401261089
8	0.1157937979
9	0.09713479848
10	0.08166390305
11	0.06870253564
12	0.0583236879
13	0.04783976531
14	0.0415860427
15	0.03614495959
16	0.0314243584
17	0.02709648145
18	0.02315148908
19	0.02045686881
20	0.01776972847
21	0.0160648486
22	0.01421888481
23	0.01322449819
24	0.01223105354
25	0.01139394609
26	0.0100869838
27	0.009123829698
28	0.008128290994
29	0.007729783153
30	0.007357245049
31	0.006829775428
32	0.00637602432
33	0.005993635255
34	0.005653330848
35	0.005360024271
36	0.005134452791
37	0.004893402988
38	0.004584275401
39	0.004314596793
40	0.00414230657
41	0.004025767634
42	0.003884996906
43	0.00376244936
44	0.003726646318
45	0.003554866861
46	0.003407443242
47	0.003270269024
48	0.003188022099
49	0.003060042282
50	0.002944321179
51	0.002838305419
52	0.002747358616
53	0.002653905571
54	0.002636674357
55	0.002551804526
56	0.002472065931
57	0.002399674398
58	0.00238692702
59	0.002324837173
60	0.002266939882
61	0.002259951318
62	0.00220342734
63	0.002149158329
64	0.002113793757
65	0.002106123487
66	0.002077252119
67	0.002039872625
68	0.001994264416
69	0.001968861585
70	0.001956628896
71	0.00193440393
72	0.00190776015
73	0.001895726037
74	0.001873004457
75	0.001861181678
76	0.00185047829
77	0.001837930959
78	0.001830077588
79	0.001824428941
80	0.001806188168
81	0.001796274101
82	0.001785002401
83	0.001767406728
84	0.001756772573
85	0.001749206729
86	0.001734239516
87	0.001721837432
88	0.001717442365
89	0.001714992531
90	0.001682689477
91	0.001652762454
92	0.001649728524
93	0.001647717756
94	0.001627707062
95	0.001616740179
96	0.00158880153
97	0.001588484497
98	0.001584922686
99	0.001570933762
100	0.001551626439
101	0.001544717057
102	0.00153951912
103	0.001519655854
104	0.00151118744
105	0.001494994843
106	0.001492341024
107	0.001485894753
108	0.001475739072
109	0.001469261699
110	0.001453659463
111	0.001437700338
112	0.001430352217
113	0.001413703363
114	0.001406183625
115	0.001400954528
116	0.001392052779
117	0.001370081206
118	0.001359142846
119	0.001356357032
120	0.001343640274
121	0.001333189121
122	0.001320842819
123	0.001316012525
124	0.001312288268
125	0.001301899448
126	0.001294029869
127	0.001292128924
128	0.001285141556
129	0.001283502487
130	0.0012754256
131	0.001270595663
132	0.001265430661
133	0.001256465605
134	0.001244132487
135	0.001234203687
136	0.001227382137
137	0.001221111317
138	0.001218004809
139	0.001206682769
140	0.001196679529
141	0.001190470502
142	0.001183915721
143	0.001176756458
144	0.001175643913
145	0.001173598806
146	0.001170795727
147	0.00116873696
148	0.00116441882
149	0.001154511925
150	0.001150910766
151	0.00114559722
152	0.001140047123
153	0.001132783175
154	0.001131209379
155	0.00111825215
156	0.001110822897
157	0.001100919303
158	0.001095050101
159	0.001089448134
160	0.001085848117
161	0.001082078674
162	0.001079342507
163	0.001076162425
164	0.001071555338
165	0.001068184802
166	0.001067004557
167	0.001061539074
168	0.001060222197
169	0.001059027761
170	0.001054794586
171	0.001048153956
172	0.001043207863
173	0.001036109377
174	0.001031026455
175	0.001025580877
176	0.001022644222
177	0.001019489459
178	0.001016372641
179	0.001012213847
180	0.0009983916062
181	0.000993141079
182	0.0009858740097
183	0.0009784357935
184	0.0009748549881
185	0.0009731525707
